epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,942.454,1.80856,1.99777,1.21082,0.62346,0.41353,0.31417,0.15228,1.87918,5.61423,1.20283,0.00021671,0.00021671,0.00021671
2,7382.34,1.54798,0.87496,1.0838,0.20376,0.45206,0.36736,0.19261,1.51421,3.95693,1.08686,0.000441178,0.000441178,0.000441178
3,17821.8,1.51585,0.79906,1.05239,0.5917,0.42781,0.405,0.19931,1.66133,2.55832,1.13025,0.000656405,0.000656405,0.000656405
4,22131.7,1.51085,0.79861,1.04469,0.51382,0.47104,0.44699,0.2254,1.63673,1.75414,1.11845,0.000862389,0.000862389,0.000862389
5,22227.8,1.54919,0.8126,1.05191,0.495,0.51274,0.4826,0.25665,1.59707,1.55149,1.09661,0.00105913,0.00105913,0.00105913
6,22324.1,1.50575,0.8004,1.02819,0.50628,0.52289,0.50072,0.24908,1.75716,1.15404,1.16824,0.00124663,0.00124663,0.00124663
7,22421.1,1.47838,0.79855,1.04051,0.46954,0.53145,0.48917,0.25381,1.71073,1.11836,1.11694,0.00142489,0.00142489,0.00142489
8,22519.4,1.45784,0.79586,1.02832,0.52445,0.58906,0.55387,0.2862,1.60997,0.98975,1.11394,0.00143595,0.00143595,0.00143595
9,22618.3,1.50066,0.80147,1.0508,0.66601,0.57856,0.59862,0.30525,1.59598,0.85834,1.12166,0.00140295,0.00140295,0.00140295
10,22717.3,1.42883,0.74833,1.01837,0.64296,0.56197,0.57431,0.29038,1.60853,0.98861,1.10167,0.00136994,0.00136994,0.00136994
11,22818.1,1.4148,0.72426,1.0084,0.66992,0.59877,0.61714,0.30532,1.61648,0.95229,1.09283,0.00133693,0.00133693,0.00133693
12,22920.6,1.39043,0.73022,1.00219,0.60248,0.62488,0.61356,0.31648,1.60339,0.92154,1.09455,0.00130393,0.00130393,0.00130393
13,23022.1,1.42231,0.74281,1.00211,0.66208,0.59912,0.61063,0.29618,1.68619,0.89708,1.12456,0.00127092,0.00127092,0.00127092
14,23123.7,1.43106,0.72785,1.00772,0.61894,0.62607,0.61788,0.32528,1.52906,0.83679,1.06942,0.00123791,0.00123791,0.00123791
15,23225,1.37853,0.70102,0.99188,0.66294,0.64701,0.65972,0.34327,1.49777,0.84629,1.06594,0.00120491,0.00120491,0.00120491
16,23329.9,1.35551,0.69232,1.00078,0.74371,0.62252,0.67447,0.35435,1.50091,0.82782,1.05264,0.0011719,0.0011719,0.0011719
17,23432,1.34259,0.67568,0.98517,0.69107,0.61364,0.6524,0.34294,1.47231,0.81836,1.04925,0.00113889,0.00113889,0.00113889
18,23533.3,1.31564,0.65721,0.97122,0.68379,0.65001,0.6711,0.35668,1.48972,0.81152,1.04651,0.00110589,0.00110589,0.00110589
19,23634.5,1.34452,0.67267,0.99383,0.74721,0.62203,0.67917,0.35306,1.54272,0.79848,1.05446,0.00107288,0.00107288,0.00107288
20,24011.2,1.33162,0.66305,0.97526,0.70861,0.65987,0.6843,0.36276,1.4649,0.76638,1.04011,0.00103987,0.00103987,0.00103987
21,24113.7,1.3044,0.65879,0.96504,0.75344,0.6621,0.71198,0.37856,1.44015,0.76408,1.02603,0.00100687,0.00100687,0.00100687
22,24217.5,1.30912,0.64959,0.96982,0.74944,0.65289,0.69346,0.36446,1.48942,0.79625,1.03903,0.000973861,0.000973861,0.000973861
23,24319.7,1.30518,0.65686,0.97308,0.74753,0.63262,0.67369,0.36426,1.46717,0.76482,1.04422,0.000940855,0.000940855,0.000940855
24,24425.9,1.28261,0.63379,0.95555,0.74068,0.67344,0.71628,0.38388,1.42932,0.74292,1.02231,0.000907848,0.000907848,0.000907848
25,24530.3,1.25178,0.632,0.95756,0.75842,0.63182,0.69754,0.37674,1.45007,0.74081,1.02561,0.000874842,0.000874842,0.000874842
26,24637.5,1.22964,0.62361,0.94954,0.74433,0.65483,0.70272,0.36786,1.4779,0.74154,1.02997,0.000841835,0.000841835,0.000841835
27,24746.3,1.2569,0.63189,0.9541,0.73947,0.65885,0.70664,0.37725,1.4419,0.74208,1.0258,0.000808828,0.000808828,0.000808828
28,24849.7,1.25723,0.63376,0.94698,0.74633,0.68629,0.73093,0.39263,1.42953,0.72667,1.01849,0.000775822,0.000775822,0.000775822
29,25215.7,1.24491,0.62076,0.94949,0.76915,0.67898,0.73901,0.4016,1.43425,0.71401,1.02353,0.000742815,0.000742815,0.000742815
30,25315.4,1.25271,0.62178,0.95687,0.7869,0.68441,0.74654,0.39458,1.44029,0.72363,1.02635,0.000709809,0.000709809,0.000709809
31,25417.2,1.21305,0.60025,0.94866,0.78084,0.70585,0.74869,0.39995,1.42822,0.71806,1.01981,0.000676802,0.000676802,0.000676802
32,25518,1.23236,0.60605,0.9482,0.78548,0.69939,0.7613,0.4113,1.40958,0.69996,1.01769,0.000643795,0.000643795,0.000643795
33,25623.9,1.18657,0.59404,0.93638,0.80072,0.68617,0.75224,0.40071,1.41122,0.6921,1.02414,0.000610789,0.000610789,0.000610789
34,25727.6,1.22099,0.59842,0.94129,0.80302,0.66906,0.7523,0.408,1.41783,0.69666,1.01173,0.000577782,0.000577782,0.000577782
35,25833.5,1.17371,0.57878,0.93632,0.76092,0.71911,0.76121,0.41399,1.41044,0.67998,1.01353,0.000544776,0.000544776,0.000544776
36,25941.8,1.1456,0.56396,0.92352,0.7604,0.7064,0.7537,0.40357,1.46654,0.70474,1.02596,0.000511769,0.000511769,0.000511769
37,26050,1.18277,0.58125,0.94416,0.79747,0.69898,0.76176,0.41892,1.39303,0.68575,1.0138,0.000478762,0.000478762,0.000478762
38,26159.4,1.16897,0.57015,0.92758,0.78278,0.71188,0.76686,0.40173,1.46204,0.67661,1.0239,0.000445756,0.000445756,0.000445756
39,26269.6,1.13856,0.549,0.92679,0.77608,0.73095,0.7788,0.43199,1.35677,0.6563,1.00354,0.000412749,0.000412749,0.000412749
40,26375.8,1.14948,0.55502,0.92478,0.80899,0.70524,0.76269,0.41141,1.43272,0.67443,1.01742,0.000379743,0.000379743,0.000379743
41,26484.3,1.14926,0.59617,0.92904,0.79729,0.68956,0.75529,0.40979,1.40293,0.66848,1.01386,0.000346736,0.000346736,0.000346736
42,26590.6,1.11859,0.55999,0.91559,0.79231,0.71788,0.76552,0.4111,1.41624,0.68013,1.01862,0.000313729,0.000313729,0.000313729
43,26699.2,1.09208,0.54044,0.9248,0.78311,0.71979,0.76768,0.41535,1.39239,0.66989,1.01087,0.000280723,0.000280723,0.000280723
44,26812.8,1.09172,0.5314,0.901,0.82536,0.70174,0.76505,0.42197,1.39116,0.65749,1.01128,0.000247716,0.000247716,0.000247716
45,26922.9,1.08848,0.53205,0.91148,0.80171,0.71516,0.76545,0.42538,1.3835,0.64826,1.0102,0.00021471,0.00021471,0.00021471
46,27034.1,1.0651,0.52253,0.91213,0.80813,0.72093,0.7774,0.42732,1.39322,0.65338,1.00956,0.000181703,0.000181703,0.000181703
47,27144.7,1.05802,0.51205,0.90939,0.81198,0.72411,0.78138,0.42908,1.39064,0.65338,1.00944,0.000148696,0.000148696,0.000148696
48,27258.6,1.0558,0.51641,0.90611,0.79827,0.73176,0.77637,0.42187,1.40087,0.65362,1.01249,0.00011569,0.00011569,0.00011569
49,27372.6,1.03488,0.51077,0.89773,0.79646,0.7345,0.77707,0.42271,1.39709,0.65343,1.01143,8.26832e-05,8.26832e-05,8.26832e-05
50,27487.1,1.0284,0.49525,0.90014,0.80654,0.73544,0.78659,0.43151,1.37788,0.64276,1.00556,4.96766e-05,4.96766e-05,4.96766e-05
