epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.6117,2.43755,5.00179,1.50575,0.60133,0.74177,0.71319,0.37498,1.79678,1.61844,1.13858,4.76e-06,4.76e-06,4.76e-06
2,101.41,2.33047,4.25239,1.46852,0.72019,0.72291,0.76255,0.39917,1.77955,1.26563,1.11701,1.04979e-05,1.04979e-05,1.04979e-05
3,147.809,2.22118,3.37968,1.3823,0.77823,0.76175,0.81561,0.4233,1.75777,1.01335,1.09896,1.60003e-05,1.60003e-05,1.60003e-05
4,194.869,2.05333,2.54966,1.27625,0.85404,0.82099,0.87363,0.44112,1.71975,0.80833,1.06751,2.1267e-05,2.1267e-05,2.1267e-05
5,242.79,2.06921,2.20428,1.2641,0.85939,0.8323,0.87575,0.43386,1.70484,0.83297,1.05213,2.6298e-05,2.6298e-05,2.6298e-05
6,290.184,2.02492,1.81446,1.24802,0.85981,0.84555,0.87817,0.42982,1.70177,0.88184,1.04547,3.10935e-05,3.10935e-05,3.10935e-05
7,338.537,1.98674,1.52101,1.14528,0.85442,0.86008,0.88225,0.42255,1.68648,1.00796,1.03443,3.56534e-05,3.56534e-05,3.56534e-05
8,388.554,1.90904,1.3895,1.15745,0.84246,0.86934,0.88565,0.41854,1.68053,1.03381,1.03165,3.99776e-05,3.99776e-05,3.99776e-05
9,438.514,1.92921,1.31467,1.11898,0.81536,0.87346,0.87644,0.40795,1.67653,1.03554,1.0301,4.40662e-05,4.40662e-05,4.40662e-05
10,487.001,1.9537,1.07979,1.08114,0.83653,0.88992,0.89608,0.41459,1.67282,0.98745,1.03415,4.79192e-05,4.79192e-05,4.79192e-05
11,536.351,1.92089,1.06376,1.16751,0.89934,0.89095,0.92466,0.44337,1.6638,0.88179,1.03598,5.15365e-05,5.15365e-05,5.15365e-05
12,589.673,1.93208,0.97916,1.12555,0.89467,0.893,0.92147,0.46432,1.66375,0.80773,1.04145,5.49183e-05,5.49183e-05,5.49183e-05
13,639.887,1.91254,1.03958,1.11793,0.88896,0.89774,0.9209,0.47423,1.66863,0.76456,1.04859,5.80644e-05,5.80644e-05,5.80644e-05
14,691.446,1.8855,0.98458,1.08131,0.88896,0.89774,0.9209,0.47423,1.66863,0.76456,1.04859,6.09749e-05,6.09749e-05,6.09749e-05
15,889.573,1.84491,0.97742,1.10983,0.87753,0.89934,0.91391,0.47905,1.66958,0.7444,1.05289,6.36498e-05,6.36498e-05,6.36498e-05
16,1073.78,1.87396,0.89413,1.13115,0.88525,0.90123,0.91712,0.48203,1.66806,0.74448,1.05423,6.6089e-05,6.6089e-05,6.6089e-05
17,1211.19,1.86025,0.89787,1.08136,0.89651,0.89122,0.91887,0.48811,1.65922,0.74886,1.05012,6.82927e-05,6.82927e-05,6.82927e-05
18,1260.84,1.8564,0.84834,1.09506,0.89651,0.89122,0.91887,0.48811,1.65922,0.74886,1.05012,7.02607e-05,7.02607e-05,7.02607e-05
19,1308.65,1.87581,0.87048,1.12963,0.89599,0.90226,0.92296,0.49437,1.64944,0.74707,1.04356,7.19931e-05,7.19931e-05,7.19931e-05
20,1356.78,1.84291,0.85467,1.05308,0.89545,0.91255,0.92744,0.49665,1.65153,0.74821,1.04012,7.34899e-05,7.34899e-05,7.34899e-05
21,1401.88,1.87033,0.8663,1.07725,0.89545,0.91255,0.92744,0.49665,1.65153,0.74821,1.04012,7.1876e-05,7.1876e-05,7.1876e-05
22,1445.16,1.89059,0.91671,1.11277,0.91257,0.91274,0.93064,0.49555,1.66005,0.73373,1.04129,6.95198e-05,6.95198e-05,6.95198e-05
23,1489.85,1.85118,0.80534,1.0749,0.90829,0.91564,0.93177,0.49092,1.66489,0.71702,1.04305,6.71636e-05,6.71636e-05,6.71636e-05
24,1532.92,1.8229,0.79039,1.09252,0.90829,0.91564,0.93177,0.49092,1.66489,0.71702,1.04305,6.48074e-05,6.48074e-05,6.48074e-05
25,1578.22,1.86026,0.80214,1.10723,0.91159,0.90168,0.92415,0.48521,1.65876,0.70774,1.0441,6.24512e-05,6.24512e-05,6.24512e-05
26,1624.11,1.7664,0.80095,1.06333,0.91159,0.90168,0.92415,0.48521,1.65876,0.70774,1.0441,6.0095e-05,6.0095e-05,6.0095e-05
27,1669.07,1.82485,0.80788,1.08416,0.90788,0.90239,0.92353,0.48121,1.65805,0.69765,1.0484,5.77388e-05,5.77388e-05,5.77388e-05
28,1713.39,1.79965,0.83267,1.09499,0.90031,0.89199,0.91323,0.47603,1.668,0.68837,1.05459,5.53826e-05,5.53826e-05,5.53826e-05
29,1759.53,1.80142,0.82469,1.06518,0.90031,0.89199,0.91323,0.47603,1.668,0.68837,1.05459,5.30264e-05,5.30264e-05,5.30264e-05
30,1805.59,1.77957,0.77084,1.04156,0.90276,0.89506,0.91448,0.47447,1.67362,0.68206,1.05701,5.06702e-05,5.06702e-05,5.06702e-05
31,1849.38,1.76883,0.79354,1.09402,0.90434,0.89815,0.91374,0.46811,1.67589,0.67688,1.05697,4.8314e-05,4.8314e-05,4.8314e-05
32,1895.25,1.70965,0.75225,1.04869,0.90434,0.89815,0.91374,0.46811,1.67589,0.67688,1.05697,4.59578e-05,4.59578e-05,4.59578e-05
